"tanggal","nama_kab_kota","kode_kab_kota","konfirmasi_total","konfirmasi_sembuh","konfirmasi_meninggal","konfirmasi_aktif","med_level","avg_delay","avg_speed_kmh","med_total_records"
2020-07-02,Kota Cirebon,"3274",15,5,1,9,3.0,111.15787635246913,14.942283752374351,8.0
2020-07-02,Kota Depok,"3276",809,432,38,339,2.0,122.76943685128485,15.820989413780369,9.0
2020-07-02,Kota Sukabumi,"3272",45,37,0,8,2.0,105.81958378586813,19.610799276940178,7.0
2020-07-02,Kota Tasikmalaya,"3278",24,19,2,3,2.0,101.32385466439383,16.84577825977689,9.0
2020-07-04,Kabupaten Bandung,"3204",119,54,6,59,2.0,148.1155502376422,15.190591196962435,11.0
2020-07-04,Kabupaten Bandung Barat,"3217",77,43,1,33,2.0,154.88084585437366,17.123512302293165,11.0
2020-07-04,Kabupaten Bekasi,"3216",251,106,17,128,2.0,120.46838628943753,14.931992252319983,9.0
2020-07-04,Kabupaten Bogor,"3201",251,132,9,110,2.0,161.77403211071467,15.39902567774697,10.0
2020-07-04,Kabupaten Ciamis,"3207",11,5,0,6,2.0,114.47960379388597,27.874177041980957,8.0
2020-07-04,Kabupaten Cianjur,"3203",20,10,1,9,2.0,188.34051677504357,20.738505713724297,11.0
2020-07-04,Kabupaten Cirebon,"3209",18,4,1,13,2.0,114.6326261026979,20.15520313485709,8.0
2020-07-04,Kabupaten Garut,"3205",23,8,3,12,2.0,136.52821049045872,20.810912645507504,10.0
2020-07-04,Kabupaten Indramayu,"3212",36,10,2,24,2.0,159.49130395899482,24.80798167149651,8.0
2020-07-04,Kabupaten Karawang,"3215",39,12,1,26,2.0,136.66616700298664,20.041297657930368,8.0
2020-07-04,Kabupaten Kuningan,"3208",24,5,2,17,2.0,123.44310841935405,23.653203870473284,10.0
2020-07-04,Kabupaten Majalengka,"3210",7,1,1,5,2.0,148.96450515415358,22.29761380702257,9.5
2020-07-04,Kabupaten Pangandaran,"3218",17,2,0,15,2.0,185.8243574142456,23.985255575180055,5.5
2020-07-04,Kabupaten Purwakarta,"3214",32,21,1,10,2.0,119.26584198759832,20.043623282941855,9.0
2020-07-04,Kabupaten Subang,"3213",52,27,2,23,2.0,137.4976630290539,23.077863270456866,10.0
2020-07-04,Kabupaten Sukabumi,"3202",61,25,0,36,2.0,190.85527753571273,19.01047474862654,11.0
2020-07-04,Kabupaten Sumedang,"3211",16,10,0,6,2.0,145.4412451157876,19.783843029529677,11.0
2020-07-04,Kabupaten Tasikmalaya,"3206",8,1,0,7,2.0,139.18476695280808,23.929684036817306,8.0
2020-07-04,Kota Bandung,"3273",420,235,41,144,3.0,94.96539359209322,13.384428511233969,10.0
2020-07-04,Kota Banjar,"3279",9,5,1,3,2.0,98.51464630575741,26.20890987620634,6.0
2020-07-04,Kota Bekasi,"3275",524,278,30,216,2.0,110.54200634713901,14.408628032940138,9.0
2020-07-04,Kota Bogor,"3271",180,101,16,63,2.0,122.43398533765193,16.261148304805392,9.0
2020-07-04,Kota Cimahi,"3277",127,64,1,62,4.0,54.872093665890574,8.394764430974707,74.0
2020-07-04,Kota Cirebon,"3274",29,5,1,23,3.0,100.82344635097967,16.395299237587547,7.0
2020-07-04,Kota Depok,"3276",818,438,38,342,2.0,118.71692064486868,15.693389508846975,9.0
2020-07-04,Kota Sukabumi,"3272",45,37,0,8,2.0,119.30336009356992,18.167466756299877,8.0
2020-07-04,Kota Tasikmalaya,"3278",24,19,2,3,2.0,89.29467672231246,18.487265693898102,7.0
2020-07-05,Kabupaten Bandung,"3204",119,54,6,59,2.0,117.31197986318104,15.079230310280186,11.0
2020-07-05,Kabupaten Bandung Barat,"3217",77,43,1,33,2.0,126.350982108156,18.555102347663517,10.0
2020-07-05,Kabupaten Bekasi,"3216",251,107,17,127,2.0,115.95097260227345,15.206078597915166,9.0
2020-07-05,Kabupaten Bogor,"3201",251,133,9,109,2.0,136.63999815465107,16.51496351330386,10.0
2020-07-05,Kabupaten Ciamis,"3207",11,5,0,6,2.0,102.42689003482941,28.409724832862935,9.0
2020-07-05,Kabupaten Cianjur,"3203",20,10,1,9,2.0,186.4551197861686,21.356887398454763,10.0
2020-07-05,Kabupaten Cirebon,"3209",18,4,1,13,2.0,107.26421138108378,20.154810849584713,8.0
2020-07-05,Kabupaten Garut,"3205",23,8,3,12,2.0,131.56083208543282,20.557396991385353,9.0
2020-07-05,Kabupaten Indramayu,"3212",36,10,2,24,2.0,140.50371405090948,23.023223780622384,9.0
2020-07-05,Kabupaten Karawang,"3215",39,12,1,26,2.0,120.46988964546017,20.44922756412165,8.0
2020-07-05,Kabupaten Kuningan,"3208",24,5,2,17,2.0,107.97991758584976,25.947443664073944,9.0
